Extracted Suggestion Name,Example Original Case Names
"Brighten Under Eye Dark Circles","Brighten Under Eye Dark Circles with Microneedling"
"Burn Off Stubborn Fat","Burn Off Stubborn Fat with PHYSIQ 360 Body Contouring; Burn Off Stubborn Fat with Everesse RF Body Contouring"
"Contour Submentum","Contour Submentum with Heat/Energy; Contour Submentum with Liposuction; Contour Submentum with Liposuction"
"Diminish Blackheads","Diminish Blackheads with Oral/Topical"
"Diminish Red Spots","Diminish Red Spots with Chemical Peel; Diminish Red Spots with Oral/Topical; Diminish Red Spots with Heat/Energy"
"Fade Dark Spots","Fade Dark Spots with Chemical Peel; Fade Dark Spots with Heat/Energy; Fade Dark Spots with Topical/Skincare"
"Fade Scars","Fade Scars with Heat/Energy; Fade Scars with Chemical Peel; Fade Scars with Microneedling"
"Hydrate Dry Lips","Hydrate Dry Lips with Topical HLA"
"Hydrate Dry Skin","Hydrate Dry Skin with Topical/Skincare"
"Improve Cheekbone Fullness","Improve Cheekbone Fullness with Facial Implant; Improve Cheekbone Fullness with Facelift; Improve Cheekbone Fullness with Facelift"
"Lighten Dark Circles","Lighten Dark Circles with Fat Grafting; Lighten Dark Circles with Heat/Energy; Lighten Dark Circles with Chemical Peel"
"Motus Az+ Laser Hair Removal","Motus AZ+ Laser Hair Removal"
"Resolve Alar Hang","Resolve Alar Hang with Rhinoplasty"
"Resolve Alar Retraction","Resolve Alar Retraction with Rhinoplasty"
"Resolve Asymmetric Lips","Resolve Asymmetric Lips with Lip Lift; Resolve Asymmetric Lips with Filler; Resolve Asymmetric Lips with Neurotoxin"
"Resolve Asymmetric Nostril Base","Resolve Asymmetric Nostril Base with Rhinoplasty"
"Resolve Brow Asymmetry","Resolve Brow Asymmetry with Filler; Resolve Brow Asymmetry with Threadlift; Resolve Brow Asymmetry with Browlift"
"Resolve Brow Ptosis","Resolve Brow Ptosis with Heat/Energy; Resolve Brow Ptosis with Chemical Peel; Resolve Brow Ptosis with Microneedling"
"Resolve Cheekbone - Not Prominent","Resolve Cheekbone - Not Prominent with Fat Grafting; Resolve Cheekbone - Not Prominent with Filler"
"Resolve Cheilosis","Resolve Cheilosis with Filler; Resolve Cheilosis with Corner Lip Lift"
"Resolve Columellar Hang","Resolve Columellar Hang with Rhinoplasty"
"Resolve Columellar Retraction","Resolve Columellar Retraction with Rhinoplasty"
"Resolve Crooked Nose","Resolve Crooked Nose with Liquid Rhinoplasty; Resolve Crooked Nose with Rhinoplasty"
"Resolve Deep Labiomental Groove","Resolve Deep Labiomental Groove with Filler; Resolve Deep Labiomental Groove with Jaw Reduction"
"Resolve Deep Radix","Resolve Deep Radix with Liquid Rhinoplasty; Resolve Deep Radix with Rhinoplasty"
"Resolve Dorsal Hump","Resolve Dorsal Hump with Rhinoplasty; Resolve Dorsal Hump with Liquid Rhinoplasty"
"Resolve Droopy Tip","Resolve Droopy Tip with Liquid Rhinoplasty; Resolve Droopy Tip with Rhinoplasty"
"Resolve Dry Lips","Resolve Dry Lips with Filler"
"Resolve Excess Skin - Lower Eyelid","Resolve Excess Skin - Lower Eyelid with Filler; Resolve Excess Skin - Lower Eyelid with Chemical Peel; Resolve Excess Skin - Lower Eyelid with Blepharoplasty"
"Resolve Excess Skin - Upper Eyelid","Resolve Excess Skin - Upper Eyelid with Blepharoplasty; Resolve Excess Skin - Upper Eyelid with Chemical Peel; Resolve Excess Skin - Upper Eyelid with Topical/Skincare"
"Resolve Eyelid Bags","Resolve Eyelid Bags with Blepharoplasty; Resolve Eyelid Bags with Filler"
"Resolve Flat Forehead","Resolve Flat Forehead with Filler; Resolve Flat Forehead with Fat Grafting"
"Resolve Gummy Smile","Resolve Gummy Smile with Filler; Resolve Gummy Smile with Lip Release; Resolve Gummy Smile with Neurotoxin"
"Resolve Jawline Ill-defined","Resolve Jawline Ill-Defined with Filler; Resolve Jawline Ill-Defined with Facelift; Resolve Jawline Ill-Defined with Microneedling"
"Resolve Jowls","Resolve Jowls with Microneedling; Resolve Jowls with Threadlift; Resolve Jowls with Filler"
