Case ID,Case Name,Keyword Matched Areas,Keyword Count,Airtable Areas,Airtable Count,Matching Areas,Keyword Only,Airtable Only,Matching Criteria,Solved
"recHtYHnwAXomkvH3","Refresh Facial Skin with UltraClear","Cheeks; Forehead; Eyes; Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,"texture smoothness pigmentation",
"rec08elFBXXtIfXZi","Resolve Jawline Ill-Defined with Filler","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"rec0TpqaffljCfzOt","Resolve Droopy Tip with Liquid Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"rec0lge1CHglEWB82","Resolve Upper Eyelid Droop with Heat/Energy","Eyes",1,"Eyes",1,"Eyes",,,,
"rec0vtYW6DbL0Nz25","Resolve Mid Cheek - Flattened with Filler","Cheeks",1,"Cheeks",1,"Cheeks",,,,
"rec1atkwdW9rEqA33","Solve Under Eye Wrinkles with Blepharoplasty","Eyes; Skin",2,"Skin All",1,,"Eyes; Skin","Skin All",,
"rec2734jRXc52jRHd","Smooth Neck Lines with Microneedling","Neck",1,"Skin All",1,,"Neck","Skin All",,
"rec2CqT3cRL4p13J2","Resolve Jowls with Microneedling","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"rec2GQ9BFULvmPHKl","Resolve Excess Skin - Upper Eyelid with Blepharoplasty","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"rec2ZBN2Uealy89aw","Resolve Excess Skin - Lower Eyelid with Filler","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"rec2ifF0nw6oQMU9G","Resolve Dry Lips with Filler","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"rec2vsw2A0s4velkc","Contour Submentum with Heat/Energy",,0,"Jawline",1,,,"Jawline",,
"rec3nlXo8g3pnssf2","Resolve Asymmetric Lips with Lip Lift","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"rec46iZ4beP8MW7jJ","Resolve Prejowl Sulcus with Facelift","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"rec4ErbyocyeYfmHy","Resolve Lacking Philtral Column with Filler","Lips",1,"Mouth & Lips",1,,"Lips","Mouth & Lips",,
"rec4fpYFlvr49A9DQ","Resolve Neck Excess Skin with Filler","Neck; Skin",2,"Jawline",1,,"Neck; Skin","Jawline",,
"rec4l7yDxjWjTkisH","Resolve Excess Skin - Lower Eyelid with Chemical Peel","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"rec4yP12V0I7GkNk0","Resolve Deep Labiomental Groove with Filler",,0,"Jawline",1,,,"Jawline",,
"rec5F1HsxdGipHKE3","Diminish Red Spots with Chemical Peel","Skin",1,"Skin All",1,,"Skin","Skin All",,
"rec5hc3kQeX9L0870","Smoothen Wrinkles with Microneedling","Skin",1,"Skin All Skin All",1,,"Skin","Skin All Skin All",,
"rec5s1iIct9IMSBAA","Smoothen Wrinkles with Chemical Peel","Skin",1,"Skin All Skin All Skin All Skin All Skin All Skin All Skin All",1,,"Skin","Skin All Skin All Skin All Skin All Skin All Skin All Skin All",,
"rec6GP10sGtIeXI3L","Resolve Thin Lips with Lip Lift","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"rec6mpM562H6S3z1k","Resolve Long Philtral Column with Filler","Lips",1,"Mouth & Lips",1,,"Lips","Mouth & Lips",,
"rec7B93y3h7k00gCg","Motus AZ+ Laser Hair Removal","Skin",1,,0,,"Skin",,,
"rec7DQBFkPkqPx7QU","Smooth Under Eye Wrinkles with Heat/Energy","Eyes; Skin",2,"Skin All",1,,"Eyes; Skin","Skin All",,
"rec7Ps49y18PkHR2B","Resolve Jawline Ill-Defined with Facelift","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"rec7XvQ4PypuwELEE","Resolve Mid Cheek - Flattened with Cheek Implant","Cheeks",1,"Cheeks",1,"Cheeks",,,,
"rec8HOCYK6kGOw9Rg","Fade Scars with Heat/Energy","Skin",1,"Skin All",1,,"Skin","Skin All",,
"rec8Pp2wACf60MRDG","Resolve Eyelid Bags with Blepharoplasty","Eyes",1,"Eyes",1,"Eyes",,,,
"rec8Xy1Z2ni0PX1Pm","Resolve Jawline Ill-Defined with Microneedling","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"rec8oAUgDoE5dOW2z","Resolve Narrow Jawline with Filler","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"rec90gBqPjUjBzuNE","Resolve Dorsal Hump with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"rec9uePVK7wQZBjey","Tighten Skin Laxity with Topical/Skincare","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recARtfgj2ySzuC5S","Resolve Excess Skin - Upper Eyelid with Chemical Peel","Eyes; Skin",2,"Eyes",1,"Eyes","Skin",,,
"recAexYUr4jXiGmTC","Resolve Nasal Tip Too Narrow with Rhinoplasty","Nose",1,"Nose",1,"Nose",,,,
"recAjJLwfkIaiTNp2","Resolve Lacking Philtral Column with Lip Lift","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"recBQUDh0L61EBq02","Resolve Wide Jawline with Jaw Reduction","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"recBsG9wJH2qKf451","Resolve Neck Excess Skin with Topical/Skincare","Neck; Skin",2,"Jawline",1,,"Neck; Skin","Jawline",,
"recCkYKBe6zzlKqa5","Resolve Over-Projected Chin with Jaw Reduction","Jawline; Chin; Chin/Jaw",3,"Jawline",1,"Jawline","Chin; Chin/Jaw",,,
"recDAOWBhchSdBuNe","Lighten Dark Circles with Fat Grafting",,0,"Eyes",1,,,"Eyes",,
"recDI1rQMOmgftRzP","Resolve Jowls with Threadlift","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"recDazoE3e3MXDtVg","Resolve Gummy Smile with Filler","Lips",1,"Mouth & Lips",1,,"Lips","Mouth & Lips",,
"recDy7C8dUf4kBz5d","Resolve Lower Cheek Volume Depletion with Fat Grafting","Cheeks",1,"Jawline",1,,"Cheeks","Jawline",,
"recEEd9bNK0HFEx7q","Fade Dark Spots with Chemical Peel","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recEsdzQYjCmEy2KZ","Resolve Lower Cheek Volume Depletion with Filler","Cheeks",1,"Jawline",1,,"Cheeks","Jawline",,
"recEwPIQH7y50WaHW","Resolve Under Eye Hollow with Oral/Topical","Eyes",1,"Eyes",1,"Eyes",,,,
"recEySwzh8YSQfSJh","Contour Submentum with Liposuction","Mouth & Lips; Lips",2,"Jawline",1,,"Mouth & Lips; Lips","Jawline",,
"recFBxQziSNGXfSJe","Resolve Negative Canthal Tilt with Lateral Canthopexy",,0,"Eyes",1,,,"Eyes",,
"recFYm60eVxovSsxJ","Tighten Skin Laxity with Heat/Energy","Skin",1,"Skin All",1,,"Skin","Skin All",,
"recFwufUHnC60oZ7t","Smooth Smile Lines with Chemical Peel","Skin",1,"Skin All Skin All",1,,"Skin","Skin All Skin All",,
"recFyiZqHM0D3SdUH","Resolve Jowls with Filler","Chin/Jaw",1,"Jawline",1,,"Chin/Jaw","Jawline",,
"recFzqrRez2uhMK7p","Improve Cheekbone Fullness with Facial Implant","Cheeks",1,"Cheeks",1,"Cheeks",,,,
"recG8ZoEk1MDp6CaG","Hydrate Dry Lips with Topical HLA","Mouth & Lips; Lips",2,"Mouth & Lips",1,"Mouth & Lips","Lips",,,
"recGAKWoTCtk9nifB","Resolve Shallow Labiomental Groove with Fat Grafting",,0,"Jawline",1,,,"Jawline",,
"recGKmLqj2i74jqXO","Resolve Jawline Ill-Defined with Filler","Jawline; Chin/Jaw",2,"Jawline",1,"Jawline","Chin/Jaw",,,
"recGLGC0RNiVMZwje","Contour Submentum with Liposuction","Mouth & Lips; Lips",2,"Jawline",1,,"Mouth & Lips; Lips","Jawline",,
